Ano,NomeConcelho,CodNomeConcelho,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
1999,Ovar,OVAR,PS,48.9,PPD/PSD,CDS/PP,PCP-PEV,33.4,7.7,6.6,1.7
1999,Azambuja,AZAMBUJA,PS,52.2,PPD/PSD,PCP-PEV,CDS/PP,20,16.6,5.7,3.3
1999,Lamego,LAMEGO,PS,44.6,PPD/PSD,CDS/PP,PCP-PEV,39.1,10.2,3.3,1
1999,Coimbra,COIMBRA,PS,48.4,PPD/PSD,PCP-PEV,CDS/PP,30.1,10,6.5,3
1999,Loures,LOURES,PS,46.6,PPD/PSD,PCP-PEV,CDS/PP,22.7,17.5,6.6,4.3
1999,São Brás de Alportel,SÃƒO BRÃ\u0081S DE ALPORTEL,PS,49.5,PPD/PSD,CDS/PP,PCP-PEV,34.1,7.1,6.1,0.5
1999,Póvoa de Lanhoso,PÃ“VOA DE LANHOSO,PS,45.7,PPD/PSD,CDS/PP,PCP-PEV,42.6,7.4,1.8,1.3
1999,Abrantes,ABRANTES,PS,54.5,PPD/PSD,PCP-PEV,CDS/PP,24.7,9.1,7,2.4
1999,Terras de Bouro,TERRAS DE BOURO,PPD/PSD,50.8,PS,CDS/PP,PCP-PEV,34.2,9.1,2.6,1.8
1999,Esposende,ESPOSENDE,PPD/PSD,40.6,PS,CDS/PP,PCP-PEV,35.8,17.6,3,1.2
1999,Vinhais,VINHAIS,PS,49.9,PPD/PSD,CDS/PP,PCP-PEV,40.5,5.7,1.8,0.6
1999,Vimioso,VIMIOSO,PPD/PSD,51.5,PS,CDS/PP,PCP-PEV,40.7,3.3,1.7,0.3
1999,Almada,ALMADA,PS,44.1,PCP-PEV,PPD/PSD,CDS/PP,22.6,20.4,6.3,4.4
1999,Alfândega da Fé,ALFÃ‚NDEGA DA FÃ‰,PPD/PSD,44.4,PS,CDS/PP,PCP-PEV,41.9,8.9,2.7,0
1999,Cadaval,CADAVAL,PS,49.3,PPD/PSD,CDS/PP,PCP-PEV,35.7,7.6,4.2,1
1999,Castelo de Vide,CASTELO DE VIDE,PS,54.5,PPD/PSD,PCP-PEV,CDS/PP,25.9,7.6,6.9,2.9
1999,Lousada,LOUSADA,PS,53.6,PPD/PSD,CDS/PP,PCP-PEV,35.6,5.3,3.3,1
1999,Crato,CRATO,PS,53.8,PPD/PSD,PCP-PEV,CDS/PP,18.7,18.7,5,1.4
1999,Bombarral,BOMBARRAL,PS,38.5,PPD/PSD,CDS/PP,PCP-PEV,38.3,13.6,6.3,1.4
1999,Sousel,SOUSEL,PS,42.3,PPD/PSD,PCP-PEV,CDS/PP,30.8,19.2,4.5,0.6
1999,Oliveira de Frades,OLIVEIRA DE FRADES,PPD/PSD,50.3,PS,CDS/PP,PCP-PEV,31.7,13.5,2,0.7
1999,Viana do Alentejo,VIANA DO ALENTEJO,PS,41.7,PCP-PEV,PPD/PSD,CDS/PP,34.3,14.7,3.8,3.2
1999,Campo Maior,CAMPO MAIOR,PS,54.8,PCP-PEV,PPD/PSD,CDS/PP,25.2,13,4.3,0.9
1999,Silves,SILVES,PS,49.4,PPD/PSD,PCP-PEV,CDS/PP,29.6,11.7,5.2,1.4
1999,Valongo,VALONGO,PS,50.9,PPD/PSD,PCP-PEV,CDS/PP,32.3,7.3,5.9,1.6
1999,Sertã,SERTÃƒ,PPD/PSD,57.3,PS,CDS/PP,PCP-PEV,32.6,7.2,1.1,0
1999,Barcelos,BARCELOS,PPD/PSD,47.4,PS,CDS/PP,PCP-PEV,38.8,8.5,2.7,1.3
1999,Borba,BORBA,PS,58.2,PCP-PEV,PPD/PSD,CDS/PP,18.3,15.8,3.5,2.6
1999,Beja,BEJA,PS,44.3,PCP-PEV,PPD/PSD,CDS/PP,30.8,15.9,4.4,2.7
1999,Lagos,LAGOS,PS,54.8,PPD/PSD,PCP-PEV,CDS/PP,23.3,10,7.3,2.3
1999,Vila Real,VILA REAL,PPD/PSD,43.4,PS,CDS/PP,PCP-PEV,42.4,7.8,3.5,0.9
1999,Gondomar,GONDOMAR,PS,49.3,PPD/PSD,PCP-PEV,CDS/PP,31.6,9.3,5.9,1.8
1999,Almodôvar,ALMODÃ”VAR,PS,55.8,PPD/PSD,PCP-PEV,CDS/PP,23.8,11.3,4.2,2.2
1999,Benavente,BENAVENTE,PS,42.4,PCP-PEV,PPD/PSD,CDS/PP,22.8,21,8.8,2.7
1999,Sátão,SÃ\u0081TÃƒO,PPD/PSD,49.3,PS,CDS/PP,PCP-PEV,32.1,15.7,0.8,0
1999,Peso da Régua,PESO DA RÃ‰GUA,PS,51.4,PPD/PSD,CDS/PP,PCP-PEV,32.6,9.2,3.9,1
1999,Sesimbra,SESIMBRA,PS,48.3,PPD/PSD,PCP-PEV,CDS/PP,21.5,18.5,6.2,3.2
1999,Felgueiras,FELGUEIRAS,PS,51.6,PPD/PSD,CDS/PP,PCP-PEV,36.7,6.3,3,1.2
1999,Mafra,MAFRA,PS,46.4,PPD/PSD,CDS/PP,PCP-PEV,35.6,7.9,5.5,2.1
1999,Tomar,TOMAR,PS,44.7,PPD/PSD,CDS/PP,PCP-PEV,37.6,8.8,5.2,1
1999,Alcochete,ALCOCHETE,PS,48.4,PCP-PEV,PPD/PSD,CDS/PP,26,15.5,5.2,3.2
1999,Mirandela,MIRANDELA,PPD/PSD,48.5,PS,CDS/PP,PCP-PEV,33.8,11.6,3.9,0.4
1999,Ferreira do Zêzere,FERREIRA DO ZÃŠZERE,PPD/PSD,52,PS,CDS/PP,PCP-PEV,34.9,8.5,1.8,0
1999,Fafe,FAFE,PS,53.5,PPD/PSD,CDS/PP,PCP-PEV,33.3,6.4,4.1,1.2
1999,Figueira de Castelo Rodrigo,FIGUEIRA DE CASTELO RODRIGO,PS,47,PPD/PSD,CDS/PP,PCP-PEV,43.2,6.5,1.6,0
1999,Melgaço,MELGAÃ‡O,PS,54.9,PPD/PSD,CDS/PP,PCP-PEV,33.6,7,1.6,0.8
1999,Castelo de Paiva,CASTELO DE PAIVA,PS,49.4,PPD/PSD,CDS/PP,PCP-PEV,41.7,4.8,1.8,0.6
1999,Penafiel,PENAFIEL,PS,51,PPD/PSD,CDS/PP,PCP-PEV,35.3,7,3.9,1.2
1999,Mourão,MOURÃƒO,PS,61.2,PPD/PSD,PCP-PEV,CDS/PP,23,8.3,5.1,0.3
1999,Vila Flor,VILA FLOR,PPD/PSD,43.1,PS,CDS/PP,PCP-PEV,41.1,10.3,3,0.5
1999,Tábua,TÃ\u0081BUA,PS,45.3,PPD/PSD,CDS/PP,PCP-PEV,43.4,6.9,1.9,0.3
1999,Seixal,SEIXAL,PS,44.2,PCP-PEV,PPD/PSD,CDS/PP,24.7,19.4,5.9,3.5
1999,Coruche,CORUCHE,PS,44.2,PCP-PEV,PPD/PSD,CDS/PP,26.4,19.3,6.5,1.9
1999,Cascais,CASCAIS,PS,38.6,PPD/PSD,CDS/PP,PCP-PEV,33.1,11.9,9.1,5.2
1999,Sardoal,SARDOAL,PS,45.2,PPD/PSD,CDS/PP,PCP-PEV,40.4,7.6,3.8,0
1999,Ourique,OURIQUE,PS,45,PPD/PSD,PCP-PEV,CDS/PP,32.9,16.2,3.2,0.4
1999,Murça,MURÃ‡A,PPD/PSD,47.6,PS,CDS/PP,PCP-PEV,38.1,10.5,1.4,0
1999,Montemor-o-Novo,MONTEMOR-O-NOVO,PCP-PEV,38.5,PS,PPD/PSD,CDS/PP,38.1,15.3,3.9,2.6
