Ano,NomeDistrito,CodNomeDistrito,Sigla,PVotos,Sigla_2,Sigla_3,Sigla_4,PVotos_2,PVotos_3,PVotos_4,PVotos_outros
2009,Portalegre,PORTALEGRE,PS,38.3,PPD/PSD,PCP-PEV,B.E.,23.8,12.9,10.8,10.9
2009,Porto,PORTO,PS,41.8,PPD/PSD,CDS-PP,B.E.,29.2,9.3,9.2,7.4
2009,Santarém,SANTARÃ‰M,PS,33.7,PPD/PSD,B.E.,CDS-PP,27,11.8,11.2,11.9
2009,Setúbal,SETÃšBAL,PS,34,PCP-PEV,PPD/PSD,B.E.,20.1,16.4,14,11.7
2009,Viana Do Castelo,VIANA DO CASTELO,PS,36.3,PPD/PSD,CDS-PP,B.E.,31.3,13.6,8.6,7
2009,Vila Real,VILA REAL,PPD/PSD,41.1,PS,CDS-PP,B.E.,36.1,10.1,5.5,4.5
2009,Viseu,VISEU,PPD/PSD,37.5,PS,CDS-PP,B.E.,34.7,13.4,6.5,4.3
2011,Aveiro,AVEIRO,PPD/PSD,44.5,PS,CDS-PP,B.E.,25.9,12.9,5,6.8
2011,Beja,BEJA,PS,29.8,PCP-PEV,PPD/PSD,CDS-PP,25.4,23.7,7.3,9.5
2011,Braga,BRAGA,PPD/PSD,40.1,PS,CDS-PP,PCP-PEV,32.9,10.4,4.9,6.9
2011,Bragança,BRAGANÃ‡A,PPD/PSD,52.1,PS,CDS-PP,PCP-PEV,26.1,11.1,2.6,4.3
2011,Castelo Branco,CASTELO BRANCO,PPD/PSD,37.9,PS,CDS-PP,PCP-PEV,34.8,9.6,4.9,7.5
2011,Coimbra,COIMBRA,PPD/PSD,40.1,PS,CDS-PP,PCP-PEV,29.2,9.9,6.2,8.8
2011,Évora,Ã‰VORA,PS,29,PPD/PSD,PCP-PEV,CDS-PP,27.6,22,8.7,8.7
2011,Faro,FARO,PPD/PSD,37,PS,CDS-PP,PCP-PEV,23,12.7,8.6,13.4
2011,Guarda,GUARDA,PPD/PSD,46.3,PS,CDS-PP,PCP-PEV,28.3,11.2,3.6,5.6
2011,Leiria,LEIRIA,PPD/PSD,47,PS,CDS-PP,B.E,20.7,12.8,5.4,8.3
2011,Lisboa,LISBOA,PPD/PSD,34.1,PS,CDS-PP,PCP-PEV,27.5,13.8,9.6,9.8
2011,Madeira,MADEIRA,PPD/PSD,49.4,PS,CDS-PP,B.E.,14.7,13.7,4,13.7
2011,Portalegre,PORTALEGRE,PPD/PSD,32.5,PS,PCP-PEV,CDS-PP,32.4,12.8,10.2,7.7
2011,Porto,PORTO,PPD/PSD,39.2,PS,CDS-PP,PCP-PEV,32,10,6.2,7.8
2011,Santarém,SANTARÃ‰M,PPD/PSD,37.6,PS,CDS-PP,PCP-PEV,25.9,12.3,9,9.6
2011,Setúbal,SETÃšBAL,PS,26.9,PPD/PSD,PCP-PEV,CDS-PP,25.2,19.6,12.1,11.2
2011,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD,43.6,PS,CDS-PP,PCP-PEV,26.2,13.4,4.9,7.2
2011,Vila Real,VILA REAL,PPD/PSD,51.4,PS,CDS-PP,PCP-PEV,29.1,8.7,3.1,4.4
2011,Viseu,VISEU,PPD/PSD,48.4,PS,CDS-PP,PCP-PEV,26.7,12.4,2.9,5.1
2015,Aveiro,AVEIRO,PPD/PSD.CDS-PP,48.1,PS,B.E.,PCP-PEV,27.9,9.6,4.4,4.6
2015,Beja,BEJA,PS,37.3,PCP-PEV,PPD/PSD.CDS-PP,B.E.,25,20.1,8.2,5.2
2015,Braga,BRAGA,PPD/PSD.CDS-PP,45.6,PS,B.E.,PCP-PEV,30.9,8.8,5.2,4.8
2015,Bragança,BRAGANÃ‡A,PPD/PSD.CDS-PP,49.5,PS,B.E.,PCP-PEV,33.9,5.6,3.1,3.3
2015,Castelo Branco,CASTELO BRANCO,PS,38.9,PPD/PSD.CDS-PP,B.E.,PCP-PEV,35.3,10,6,4.3
2015,Coimbra,COIMBRA,PPD/PSD.CDS-PP,37.2,PS,B.E.,PCP-PEV,35.3,9.9,7,5.2
2015,Évora,Ã‰VORA,PS,37.6,PPD/PSD.CDS-PP,PCP-PEV,B.E.,23.8,21.9,8.6,4
2015,Faro,FARO,PS,32.8,PPD/PSD.CDS-PP,B.E.,PCP-PEV,31.5,14.1,8.7,7
2015,Guarda,GUARDA,PPD/PSD.CDS-PP,45.6,PS,B.E.,PCP-PEV,33.7,7.4,4,4
2015,Leiria,LEIRIA,PPD/PSD.CDS-PP,48.4,PS,B.E.,PCP-PEV,24.8,9.7,5.1,5.8
2015,Lisboa,LISBOA,PPD/PSD.CDS-PP,34.7,PS,B.E.,PCP-PEV,33.5,10.9,9.9,6.2
2015,Portalegre,PORTALEGRE,PS,42.4,PPD/PSD.CDS-PP,PCP-PEV,B.E.,27.6,12.2,9.2,4.2
2015,Porto,PORTO,PPD/PSD.CDS-PP,39.6,PS,B.E.,PCP-PEV,32.7,11.1,6.8,5.2
2015,Santarém,SANTARÃ‰M,PPD/PSD.CDS-PP,35.8,PS,B.E.,PCP-PEV,32.9,10.8,9.7,5
2015,Setúbal,SETÃšBAL,PS,34.4,PPD/PSD.CDS-PP,PCP-PEV,B.E.,22.6,18.8,13.1,6.5
2015,Viana Do Castelo,VIANA DO CASTELO,PPD/PSD.CDS-PP,45.5,PS,B.E.,PCP-PEV,29.8,8,5.2,5.7
2015,Vila Real,VILA REAL,PPD/PSD.CDS-PP,51,PS,B.E.,PCP-PEV,33.1,5.2,3,3.4
2015,Viseu,VISEU,PPD/PSD.CDS-PP,51.1,PS,B.E.,PCP-PEV,29.7,6.7,3.5,3.9
